California Department of Finance,,,,,,,,,,,,,,,,,,,,Census 2010,,
Demographic Research Unit,,,,,,,,,,,,,,,,,,,,Demographic Profile Summary File,,
State Census Data Center,,,,,,,,,,,,,,,,,,,,Generated on 8-17-2012,,
Phone:  916-323-4086,,,,,,,,,,,,,,,,,,,,,,
"Table 3a: Race Detail (Hispanic Inclusive),  April 1, 2010",,,,,,,,,,,,,,,,,,,,,,
School Districts in California,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
  Geography,Total Population,Total Population of One Race,,,,Asian,,,,,,,,Native Hawaiian and Other Pacific Islander (NHOPI),,,,,,Total Population of Two or More Races,,
West Covina Unified School District,"58,638","56,072","27,595","2,360",588,"11,857",260,"4,480","3,586",361,269,"1,827","1,074",112,25,22,26,39,"13,560","2,566",,9700642000
West Fresno Elementary School District,"7,102","6,829","1,861","1,894",127,"1,061",15,11,22,56,0,4,953,11,0,0,11,0,"1,875",273,,9500614580
West Park Elementary School District,"1,814","1,723",989,63,37,178,8,14,1,9,0,6,140,1,0,0,1,0,455,91,,9500642060
West Side Union Elementary School District,963,925,772,4,2,10,0,3,1,0,6,0,0,2,0,0,0,2,135,38,,9500642270
West Sonoma County Union High School District,"47,588","45,899","42,420",344,452,735,58,170,134,227,42,25,79,74,28,7,11,28,"1,874","1,689",,9600602670
Western Placer Unified School District,"50,093","48,019","40,531",653,503,"2,767",496,304,"1,117",237,178,192,243,123,41,21,14,47,"3,442","2,074",,9700642140
Westminster Elementary School District,"83,869","80,660","34,033",924,497,"33,594",227,"1,467","1,137",770,"1,348","27,227","1,418",407,68,73,235,31,"11,205","3,209",,9500642150
Westmorland Union Elementary School District,"2,606","2,525","1,264",27,56,18,0,6,5,2,0,0,5,0,0,0,0,0,"1,160",81,,9500642180
Westside Elementary School District,"1,322","1,299",519,8,4,21,4,0,7,0,0,0,10,0,0,0,0,0,747,23,,9500642210
Westside Union Elementary School District,"69,586","66,214","44,980","8,049",642,"3,804",465,397,"1,546",176,497,228,495,193,50,66,27,50,"8,546","3,372",,9500642120
Westwood Unified School District,"1,821","1,760","1,583",3,109,10,0,0,6,2,2,0,0,4,2,0,0,2,51,61,,9700642300
Wheatland Elementary School District,"7,225","6,740","5,602",214,140,328,39,19,107,15,12,3,133,16,6,2,0,8,440,485,,9500642330
Wheatland Union High School District,"10,944","10,131","8,025",443,193,663,97,47,208,20,21,19,251,50,11,18,4,17,757,813,,9600642350
Whitmore Union Elementary School District,726,696,673,2,14,2,0,0,1,0,0,1,0,0,0,0,0,0,5,30,,9500642420
Whittier City Elementary School District,"67,511","64,435","40,676",897,886,"2,669",104,628,742,561,242,77,315,90,28,20,27,15,"19,217","3,076",,9500642450
Whittier Union High School District,"218,195","208,846","132,003","3,667","2,710","9,693",516,"1,485","3,562","1,191","1,111",560,"1,268",411,91,80,134,106,"60,362","9,349",,9600642480
William S. Hart Union High School District,"267,152","254,413","179,805","11,798","1,442","28,167","2,727","2,417","10,990","1,530","6,753",859,"2,891",401,135,83,32,151,"32,800","12,739",,9600642510
Williams Unified School District,"5,976","5,785","3,469",59,68,114,71,12,13,4,2,1,11,7,0,1,0,6,"2,068",191,,9700642540
Willits Unified School District,"12,974","12,343","10,717",68,539,124,16,26,39,10,14,5,14,15,14,0,0,1,880,631,,9700642560
Willow Creek Elementary School District,650,620,602,2,11,1,0,1,0,0,0,0,0,0,0,0,0,0,4,30,,9500642600
Willow Grove Union Elementary School District,265,254,226,0,2,1,0,0,0,1,0,0,0,1,0,0,1,0,24,11,,9500642630
Willows Unified School District,"9,449","9,102","7,044",84,208,358,38,29,27,4,5,4,251,13,0,2,4,7,"1,395",347,,9700642710
Wilmar Union Elementary School District,"3,270","3,163","2,965",28,24,51,3,13,8,24,2,1,0,12,5,0,3,4,83,107,,9500642750
Wilsona Elementary School District,"10,156","9,556","5,702","1,135",140,100,7,6,48,6,8,3,22,25,9,4,12,0,"2,454",600,,9500642810
Windsor Unified School District,"28,812","27,469","21,445",229,615,829,118,143,173,68,58,129,140,59,12,10,11,26,"4,292","1,343",,9700600034
Winship Elementary School District,604,586,397,0,20,14,0,0,0,0,0,0,14,0,0,0,0,0,155,18,,9500642900
Winters Joint Unified School District,"8,845","8,423","6,251",66,83,84,5,11,23,21,1,5,18,11,4,3,1,3,"1,928",422,,9700642930
Winton Elementary School District,"10,457","10,028","5,655",177,145,669,82,4,63,13,12,9,486,8,3,4,1,0,"3,374",429,,9500642960
Wiseburn Elementary School District,"12,490","11,758","7,907",577,54,"1,236",117,221,363,147,99,148,141,109,9,3,20,77,"1,875",732,,9500642990
Woodlake Union Elementary School District,"9,633","9,244","5,373",65,147,75,21,4,17,11,2,0,20,22,2,6,2,12,"3,562",389,,9500643020
Woodlake Union High School District,"12,614","12,136","7,801",73,193,112,24,10,22,18,15,0,23,27,6,7,2,12,"3,930",478,,9600643050
Woodland Joint Unified School District,"61,413","58,246","39,003",891,807,"3,567","1,000",565,548,219,54,124,"1,057",180,21,20,7,132,"13,798","3,167",,9700643080
Woodside Elementary School District,"3,146","3,066","2,874",11,2,124,27,38,13,16,5,3,22,1,0,0,0,1,54,80,,9500643140
Woodville Elementary School District,"2,680","2,639","2,055",2,31,7,3,0,4,0,0,0,0,0,0,0,0,0,544,41,,9500643170
Wright Elementary School District,"16,860","15,825","10,386",566,375,"1,318",93,197,252,42,43,280,411,48,10,3,14,21,"3,132","1,035",,9500643200
Yosemite Unified School District,"10,604","10,152","9,363",68,360,100,8,9,39,17,11,4,12,18,11,0,0,7,243,452,,9700600160
Yosemite Unified School District in Bass Lake,"12,108","11,659","10,987",51,295,140,35,31,22,20,12,6,14,5,2,3,0,0,181,449,,9600606001
Yosemite Unified School District in Raymond-Knowles,"1,267","1,210","1,098",25,34,11,0,6,4,1,0,0,0,0,0,0,0,0,42,57,,9600606002
Yreka Union Elementary School District,"9,939","9,403","8,482",62,549,103,17,19,10,13,5,1,38,14,5,3,0,6,193,536,,9500643380
Yreka Union High School District,"17,784","16,840","15,405",113,812,162,28,26,22,26,10,5,45,23,7,5,0,11,325,944,,9600643410
Yuba City Unified School District,"73,594","69,290","43,315","1,692","1,027","12,077","9,517",282,643,324,147,171,993,249,41,139,14,55,"10,930","4,304",,9700643470
Yucaipa-Calimesa Joint Unified School District,"58,798","56,424","47,157",915,598,"1,537",182,216,482,76,241,112,228,81,35,8,23,15,"6,136","2,374",,9700643560
